Time,ADS Pressure,P/F ratio,Purity
182,3.08,1.88E-07,0.997177
182,3.08,1.88E-07,0.997398
182,3.08,1.88E-07,0.997524
182,3.08,1.88E-07,0.997523
182,3.08,1.88E-07,0.997534
182,3.08,1.88E-07,0.997537
182,3.08,1.88E-07,0.997539
213,3.21,2.44E-07,0.985311
213,3.21,2.44E-07,0.96556
213,3.21,2.44E-07,0.956732
213,3.21,2.44E-07,0.95422
213,3.21,2.44E-07,0.954252
178,3.88,2.12E-07,0.985061
178,3.88,2.12E-07,0.995096
178,3.88,2.12E-07,0.99642
178,3.88,2.12E-07,0.996732
178,3.88,2.12E-07,0.996828
229,4.37,1.86E-07,0.994795
229,4.37,1.86E-07,0.984068
229,4.37,1.86E-07,0.977266
229,4.37,1.86E-07,0.974691
229,4.37,1.86E-07,0.97395
229,4.37,1.86E-07,0.975003
229,4.37,1.86E-07,0.973723
229,4.37,1.86E-07,0.973702
229,4.37,1.86E-07,0.97371
229,4.37,1.86E-07,0.973736
202,4.17,2.39E-07,0.988789
202,4.17,2.39E-07,0.994812
202,4.17,2.39E-07,0.996042
202,4.17,2.39E-07,0.996427
202,4.17,2.39E-07,0.996546
225,3.42,2.23E-07,0.976898
225,3.42,2.23E-07,0.94526
225,3.42,2.23E-07,0.934212
225,3.42,2.23E-07,0.931031
225,3.42,2.23E-07,0.929235
215,4.18,1.74E-07,0.969986
215,4.18,1.74E-07,0.983698
215,4.18,1.74E-07,0.987258
215,4.18,1.74E-07,0.9884
215,4.18,1.74E-07,0.988738
215,4.18,1.74E-07,0.989133
215,4.18,1.74E-07,0.988874
215,4.18,1.74E-07,0.988766
215,4.18,1.74E-07,0.988753
215,4.18,1.74E-07,0.988856
202,4.32,2.25E-07,0.9926
202,4.32,2.25E-07,0.995409
202,4.32,2.25E-07,0.996232
202,4.32,2.25E-07,0.996511
202,4.32,2.25E-07,0.996616
208,3.63,2.02E-07,0.996289
208,3.63,2.02E-07,0.991887
208,3.63,2.02E-07,0.988906
208,3.63,2.02E-07,0.987636
208,3.63,2.02E-07,0.987176
192,4.57,2.61E-07,0.9928
192,4.57,2.61E-07,0.995293
192,4.57,2.61E-07,0.995904
192,4.57,2.61E-07,0.99632
192,4.57,2.61E-07,0.996441
192,4.57,2.61E-07,0.996638
